,SSC_PERCENTAGE,HSC_PERCENTAGE,DEGREE_PERCENTAGE,EMP_TEST_PERCENTAGE,MBA_PERCENTAGE,GENDER_F,GENDER_M,SSC_BOARD_Central,SSC_BOARD_Others,HSC_BOARD_Central,HSC_BOARD_Others,HSC_SUBJECT_Arts,HSC_SUBJECT_Commerce,HSC_SUBJECT_Science,UNDERGRAD_DEGREE_Comm&Mgmt,UNDERGRAD_DEGREE_Others,UNDERGRAD_DEGREE_Sci&Tech,SPECIALISATION_Mkt&Fin,SPECIALISATION_Mkt&HR,WORK_EXPERIENCE_No,WORK_EXPERIENCE_Yes,Placed
0,67,91,58,55,58.8,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1
1,79.33,78.33,77.48,86.5,66.28,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1
2,65,68,64,75,57.8,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
3,56,52,52,66,59.43,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0
4,85.8,73.6,73.3,96.8,55.5,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
5,55,49.8,67.25,55,51.58,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0
6,46,49.2,79,74.28,53.29,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
7,82,64,66,67,62.14,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1
8,73,79,72,91.34,61.29,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
9,58,70,61,54,52.21,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
10,58,61,60,62,60.85,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1
11,69.6,68.4,78.3,60,63.7,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
12,47,55,65,62,65.04,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0
13,77,87,59,68,68.63,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
14,62,47,50,76,54.96,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0
15,65,75,69,72,64.66,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
16,63,66.2,65.6,60,62.54,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
17,55,67,64,60,67.28,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
18,63,66,64,68,64.08,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0
19,60,67,70,50.48,77.89,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1
20,62,65,66,50,56.7,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1
